Blockno,DateTime (UTC),Parent Transaction Hash,Status,Type,From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"41657946","2026-02-03 07:53:59","0x9f4752d1031990e3930155ca5e3fb94661e3872e083cc4ce0b73a9657cf25b4d","Success","call","0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789","audbre6","0x501ef174b66883ba40f92e6fb24bfb49331d4d4c","Bundler: 0x501...d4c","0.000033387697103842 ETH","$0.08"
"","","0x9f4752d1031990e3930155ca5e3fb94661e3872e083cc4ce0b73a9657cf25b4d","Success","create2","0x777777751622c0d3258f214f9df38e35bf45baf3","Zora: ZoraFactory","0x851b0fcda86b00533885145daf8a81f4d67c7f12","","0 ETH","$0.00"
"","","0x0ba17c7f11f5f1a07e28ff5d0f57aaffcf2dcd931a8441ee5909c513c454f36c","Success","create2","0xaac5d4240af87249b3f71bc8e4a2cae074a3e419","","0x343ec6df063ddccd7536609b2c7230e4a400344b","","0 ETH","$0.00"
"","","0x0ba17c7f11f5f1a07e28ff5d0f57aaffcf2dcd931a8441ee5909c513c454f36c","Success","create2","0xaac5d4240af87249b3f71bc8e4a2cae074a3e419","","0x7411f6ffd98026be6560e3db1b40555d4bebde30","","0 ETH","$0.00"
"","","0x4297bb6dffb555c757ec4b7da41745f8793669351304e00f43070cc52bf7e868","Success","call","0x6ff5693b99212da76ad316178a184ab56d299b43","Uniswap V4: Universal Router","0x0fa1c4fc8e710b3a808c76ba4f8285aa30721dd9","","0.029833553988289927 ETH","$69.26"
"","","0x4297bb6dffb555c757ec4b7da41745f8793669351304e00f43070cc52bf7e868","Success","call","0x4200000000000000000000000000000000000006","Audbre6","0x6ff5693b99212da76ad316178a184ab56d299b43","Uniswap V4: Universal Router","0.029833553988289927 ETH","$69.26"
"","","0x415ccfd72cf736bef590251923d807480c2624022b56f7ce49639e0bfc604598","Success","call","0xd8ba9d1a99fc21f0eca24e9b85737c28a194a4e2","","0x4200000000000000000000000000000000000006","Audbre6","0.0099 ETH","$22.98"
"","","0x415ccfd72cf736bef590251923d807480c2624022b56f7ce49639e0bfc604598","Success","call","0xd8ba9d1a99fc21f0eca24e9b85737c28a194a4e2","","0xb8159ba378904f803639d274cec79f788931c9c8","","0.0001 ETH","$0.23"
"","","0x09def723a40e12417b7c9fe0c0c7220b3f48c787a1d6fc557e3f108ddcea1f04","Success","call","0x6ff5693b99212da76ad316178a184ab56d299b43","Uniswap V4: Universal Router","0x4200000000000000000000000000000000000006","Audbre6","0.00005 ETH","$0.12"
"","","0xfb270296a34fbc85a8ae5d3c502b90a9719520e7d23777fb278347f9ce06e0b3","Success","call","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Audbre6","0x4200000000000000000000000000000000000006","Audbre6","0.0365 ETH","$84.74"
"","","0xe2d4b16a84f2364849919b3c1e99a5068448a99e68a9a73c7570ba4883e37cb5","Success","call","0xdec2a4f75c5fae4a09c83975681ce1dd1dff764b","","0x2aa2e336f322ba7b73f3e10e22b7a35b12584247","","0.000001302470803107 ETH","$0.00"
"","","0x36696456c44c9b69b27f5d3f2722e7e217c98e4bf87324656f3b24a82c64161b","Success","call","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Audbre6","0xf4d9894e5b1996f5abc60375dcf6935e9c8c2c0d","","0.095437085586477833 ETH","$221.56"
"","","0x36696456c44c9b69b27f5d3f2722e7e217c98e4bf87324656f3b24a82c64161b","Success","call","0x4200000000000000000000000000000000000006","Audbre6","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Audbre6","0.095437085586477833 ETH","$221.56"
"","","0x7e8fc6347d6c6d89076c4e254ee3f75872d79eff78c8474df85d70703b8908e8","Success","call","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Audbre6","0x4200000000000000000000000000000000000006","Audbre6","0.013115771248599988 ETH","$30.45"
"","","0x7e8fc6347d6c6d89076c4e254ee3f75872d79eff78c8474df85d70703b8908e8","Success","call","0x1d1ff4cacff4d13a208d82a815e4367d674f00d5","","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Audbre6","0.013115771248599988 ETH","$30.45"
"","","0x0e4e41a842e5ed9e0428a48616a8af96c04c0464db473c77a130a7b9b425bb41","Success","call","0x8d0d118070b728e104294471fbe93c2e3affd694","","0x8478cdde7910da23e8ee8e3e58bf9b9b357303f9","","0.003482974240861625 ETH","$8.09"
"","","0x0e4e41a842e5ed9e0428a48616a8af96c04c0464db473c77a130a7b9b425bb41","Success","call","0x8d0d118070b728e104294471fbe93c2e3affd694","","0x7f77bad9eb06373fe3aee84f85a9d701ff820eeb","","0.000014952162145113 ETH","$0.03"
"","","0x0e4e41a842e5ed9e0428a48616a8af96c04c0464db473c77a130a7b9b425bb41","Success","call","0x8d0d118070b728e104294471fbe93c2e3affd694","","0x37dd56c14a25c2aebfd5ba51dbb2e7c42b938a44","","0.000014952162145113 ETH","$0.03"
"","","0x0e4e41a842e5ed9e0428a48616a8af96c04c0464db473c77a130a7b9b425bb41","Success","call","0x8d0d118070b728e104294471fbe93c2e3affd694","","0xb4223724b86be42e15de194b4df2566b17f3c933","","0.000005277233698275 ETH","$0.01"
"","","0x0e4e41a842e5ed9e0428a48616a8af96c04c0464db473c77a130a7b9b425bb41","Success","call","0x4200000000000000000000000000000000000006","Audbre6","0x8d0d118070b728e104294471fbe93c2e3affd694","","0.003518155798850126 ETH","$8.17"
"","","0xcf2bdd2a33d6ba7f4510d599353f6158a0aef938cff2b5921efaccccd704f61a","Success","call","0xda134047f32dd7f0f7538ec0bde5e637bcb75b05","","0x709e456079eee0ec1bdc8b98c14ee3df5c1dc423","","0.0000004851 ETH","$0.00"
"","","0x49ecb539c50ebae9b1d4268a881a3aefb1f4e4144f13a08fdb01c096d3bff2c2","Success","call","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Audbre6","0xeb03ac4df21e778ae617ed5e928438f3197197ec","","0.018808022105131687 ETH","$43.66"
"","","0x49ecb539c50ebae9b1d4268a881a3aefb1f4e4144f13a08fdb01c096d3bff2c2","Success","call","0x4200000000000000000000000000000000000006","Audbre6","0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24","Audbre6","0.018808022105131687 ETH","$43.66"
"","","0x91b9380f3b020201b91540a91d309f4d7c678b397a4f1aaff006dcfa08a945cb","Success","call","0x6ff5693b99212da76ad316178a184ab56d299b43","Uniswap V4: Universal Router","0x4200000000000000000000000000000000000006","Audbre6","0.01 ETH","$23.22"
